"","team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","actual_points_prob","expected_points","points","points_diff"
"1","Bayern Munich",0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0743915527677917,61.9000289366242,62,0.0999710633757616
"2","Leverkusen",0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.063543744546522,53.6822677607109,56,2.31773223928906
"3","Augsburg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0271885435447627,29.9741482596287,38,8.02585174037127
"4","Bochum",0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0.056432511123356,24.0414727838996,20,-4.04147278389959
"5","Dortmund",0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0102919791997994,47.1123248939774,35,-12.1123248939774
"6","Ein Frankfurt",0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0.0361905161395698,38.3421663656913,45,6.65783363430874
"7","Freiburg",0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0.029748022161544,34.3609196505229,42,7.63908034947714
"8","Heidenheim",0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0.0347674029511817,26.1369790535174,19,-7.13697905351738
"9","Hoffenheim",0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.0493180602432991,30.7775788327343,26,-4.77757883273434
"10","Holstein Kiel",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0609577290168982,20.6564270418147,17,-3.65642704181474
"11","M'gladbach",0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.0326358196544672,32.8377109807942,40,7.16228901920583
"12","Mainz",0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0.0162475871930814,34.5528639968684,45,10.4471360031316
"13","RB Leipzig",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0620093208911183,42.9889982015668,42,-0.98899820156678
"14","St Pauli",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0572148367427892,28.5387371991449,25,-3.53873719914485
"15","Stuttgart",0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0.0366023308152138,43.5757561983543,37,-6.57575619835426
"16","Union Berlin",0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0.0460361774189904,32.2874312284836,27,-5.28743122848361
"17","Werder Bremen",0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0.0611223625265868,31.392289899891,33,1.60771010010904
"18","Wolfsburg",0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0.0509147231579288,33.9801668892182,38,4.01983311078175
