"","team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","actual_points_prob","expected_points","points","points_diff"
"1","Ath Madrid",0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0525228485833398,52.0752039301416,56,3.92479606985844
"2","Real Madrid",0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0644153834601926,61.0264160372009,60,-1.02641603720087
"3","Alaves",0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.035184210919073,34.0165950318443,27,-7.01659503184425
"4","Ath Bilbao",0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0449234177838973,46.8362305760622,52,5.16376942393781
"5","Barcelona",0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0595458773686068,59.9491558685332,63,3.05084413146678
"6","Betis",0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.0470202101491485,39.3375551679694,44,4.66244483203058
"7","Celta",0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0.0603559498565259,38.3273118358847,39,0.672688164115335
"8","Espanol",0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.0626671035417659,26.102959390048,28,1.89704060995202
"9","Getafe",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0.0549447573292152,32.744620234995,36,3.25537976500495
"10","Girona",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0406465143806728,40.0124221363168,34,-6.01242213631683
"11","Las Palmas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0.0638142080850357,27.1595627331222,25,-2.15956273312218
"12","Leganes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0.0634187484820287,25.5040882176251,27,1.49591178237486
"13","Mallorca",0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0.046836815105485,35.3470320894429,40,4.65296791055711
"14","Osasuna",0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0.0630012434082816,32.7625651061003,33,0.237434893899682
"15","Sevilla",0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0.0616787657751463,36.1933174477957,36,-0.193317447795735
"16","Sociedad",0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.0279287792433359,43.2019360172971,35,-8.20193601729709
"17","Valencia",0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0.0409575662182844,34.1063170949232,28,-6.10631709492318
"18","Valladolid",0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0.0370780653828374,22.8013086871142,16,-6.80130868711418
"19","Vallecano",0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0.0539732232116848,33.6990797223343,37,3.30092027766572
"20","Villarreal",0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0.057127901500197,41.4551772362874,44,2.54482276371257
