"","team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","actual_points_prob","expected_points","points","points_diff"
"1","Arsenal",0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0612414007147858,59.1692110522757,58,-1.16921105227571
"2","Man City",0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0197396158876482,57.6770357224175,48,-9.67703572241752
"3","Aston Villa",0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.0579700703992106,43.4654599689199,45,1.53454003108011
"4","Bournemouth",0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.0470121932382314,39.5125731499873,44,4.48742685001267
"5","Brentford",0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0.0369342126779618,34.5996562256724,41,6.40034377432758
"6","Brighton",0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0.043556785693038,41.7595498732838,47,5.24045012671623
"7","Chelsea",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0527603820333543,52.2919201972745,49,-3.29192019727446
"8","Crystal Palace",0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0.0550524973863485,36.291567357939,39,2.70843264206103
"9","Everton",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0.0581795262196695,32.2100062760993,34,1.78999372390071
"10","Fulham",0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.0425440306839632,39.5879513946333,45,5.41204860536669
"11","Ipswich",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.0296892743481931,24.9277461431818,17,-7.9277461431818
"12","Leicester",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0.0346310980780068,24.2240215567725,17,-7.2240215567725
"13","Liverpool",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0315270074389329,62.3255564979513,70,7.67444350204872
"14","Man United",0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.0308547794341109,44.7217984692653,37,-7.72179846926527
"15","Newcastle",0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.0567609829221012,44.7245473983753,47,2.27545260162475
"16","Nott'm Forest",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.00163240982846964,36.1139667878473,54,17.8860332121527
"17","Southampton",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.00318312163155756,22.7964221355723,9,-13.7964221355723
"18","Tottenham",0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.0260837810261584,42.697528198508,34,-8.697528198508
"19","West Ham",0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0.0564932440606568,31.5465275976743,34,2.4534724023257
"20","Wolves",0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0.0585143297052294,28.9112514641314,26,-2.91125146413142
