"","team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","actual_points_prob","expected_points","points","points_diff"
"1","Inter",0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.057974368646192,60.9339351579797,64,3.06606484202031
"2","Milan",0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0426112854286572,52.4380996767915,47,-5.4380996767915
"3","Atalanta",0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049432348926086,53.5877097467943,58,4.41229025320568
"4","Bologna",0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0288989286679609,44.9317087840947,53,8.06829121590526
"5","Cagliari",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0459320411119861,31.3388316489247,26,-5.33883164892467
"6","Como",0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0.0411455330542545,35.0533417084485,29,-6.05334170844847
"7","Empoli",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0.0432911363840347,27.9100458764922,22,-5.91004587649217
"8","Fiorentina",0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.0480262261448756,43.6233444501421,48,4.37665554985785
"9","Genoa",0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0.0581314652760852,32.8734477763519,35,2.12655222364808
"10","Juventus",0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.0590385439633528,50.5324822120678,52,1.46751778793221
"11","Lazio",0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0527419655637044,47.6361667689098,51,3.36383323109018
"12","Lecce",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0.0509862352323786,29.5633055585626,25,-4.56330555856263
"13","Monza",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0.00535131831792615,28.4441731509763,15,-13.4441731509763
"14","Napoli",0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.0246415263403904,52.095531222997,61,8.904468777003
"15","Parma",0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0.0399793585057709,31.3244374535648,25,-6.32443745356476
"16","Roma",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0589214434945175,47.7330509218694,49,1.26694907813062
"17","Torino",0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0.0540719278637543,34.9374437559485,38,3.0625562440515
"18","Udinese",0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.0445745390144419,34.9910280860946,40,5.00897191390538
"19","Venezia",0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0.0377282197195958,26.728760610292,20,-6.72876061029205
"20","Verona",0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0.0571316567400717,26.3357732128552,29,2.6642267871448
