"","team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","actual_points_prob","expected_points","points","points_diff"
"1","Real Madrid",0.5682,0.2622,0.1112,0.0358,0.0115,0.0059,0.0028,7e-04,9e-04,5e-04,1e-04,1e-04,0,1e-04,0,0,0,0,0,0,0.0758681477148672,49.076515410037,49,-0.0765154100369614
"2","Barcelona",0.2876,0.3673,0.1979,0.0796,0.0369,0.0151,0.0082,0.0039,0.0021,5e-04,3e-04,2e-04,3e-04,1e-04,0,0,0,0,0,0,0.0698050453339745,46.2577332478301,45,-1.25773324783007
"3","Ath Madrid",0.1102,0.2254,0.2947,0.1613,0.0822,0.0471,0.033,0.0198,0.011,0.0058,0.0044,0.0025,0.0015,5e-04,3e-04,2e-04,1e-04,0,0,0,0.0448243627106209,42.4192762546017,48,5.58072374539834
"4","Ath Bilbao",0.0133,0.0501,0.1172,0.1761,0.1523,0.1185,0.0936,0.0756,0.0558,0.0402,0.0327,0.0219,0.0184,0.013,0.0075,0.0062,0.0042,0.0021,9e-04,4e-04,0.0487714880994013,36.1684184350023,41,4.83158156499769
"5","Sociedad",0.0093,0.0365,0.0913,0.1449,0.1525,0.1275,0.0998,0.082,0.0672,0.0498,0.0371,0.0281,0.0257,0.0169,0.0101,0.0085,0.0057,0.0036,0.0028,7e-04,0.0341791130418351,34.9159844943982,28,-6.91598449439822
"6","Villarreal",0.0058,0.0226,0.0613,0.1134,0.1304,0.1205,0.1057,0.0906,0.0792,0.0658,0.0577,0.0377,0.0321,0.0249,0.0171,0.0155,0.0089,0.0055,0.0035,0.0018,0.0572840722429378,33.504115871478,37,3.49588412852204
"7","Girona",0.0022,0.0138,0.042,0.0808,0.101,0.1119,0.1038,0.1023,0.0879,0.0708,0.0645,0.0542,0.0419,0.0371,0.0305,0.0208,0.0144,0.0101,0.0068,0.0032,0.0675490839056377,32.0402833298337,31,-1.04028332983367
"8","Betis",0.0015,0.0066,0.0249,0.0525,0.0763,0.087,0.0913,0.0867,0.0871,0.0848,0.0762,0.0691,0.0581,0.0525,0.0421,0.032,0.0309,0.0202,0.0144,0.0058,0.0681190254685866,30.3303606357562,29,-1.33036063575618
"9","Celta",7e-04,0.0057,0.018,0.0407,0.0555,0.0746,0.0854,0.0817,0.0839,0.0831,0.0736,0.0773,0.0677,0.0614,0.0547,0.0413,0.0377,0.0299,0.0177,0.0094,0.0544309531701334,29.1364491549033,25,-4.13644915490331
"10","Valencia",4e-04,6e-04,0.0044,0.0135,0.0246,0.0341,0.0474,0.0492,0.0576,0.0678,0.0787,0.0774,0.0837,0.0812,0.0839,0.0808,0.0723,0.0616,0.0495,0.0313,0.0335841637573479,26.0596374464838,19,-7.05963744648384
"11","Vallecano",3e-04,0.001,0.0061,0.0132,0.0246,0.0364,0.0444,0.059,0.0659,0.0722,0.0726,0.0828,0.0802,0.0796,0.0761,0.0799,0.0704,0.0633,0.0444,0.0276,0.0416689293480458,26.3711494983242,32,5.62885050167576
"12","Sevilla",2e-04,0.0037,0.0103,0.028,0.0452,0.058,0.0696,0.0729,0.079,0.0842,0.0812,0.0786,0.0744,0.0695,0.0599,0.0549,0.049,0.0401,0.0274,0.0139,0.0696633994299086,28.2019237193677,28,-0.201923719367691
"13","Alaves",1e-04,6e-04,0.0026,0.0098,0.0174,0.0274,0.0376,0.0459,0.0511,0.0633,0.0689,0.0786,0.0828,0.0873,0.0877,0.0882,0.078,0.0747,0.0591,0.0389,0.0560357189963099,25.2438802066387,21,-4.24388020663866
"14","Getafe",1e-04,0.001,0.004,0.0131,0.022,0.0349,0.043,0.0527,0.0641,0.0725,0.0781,0.081,0.0796,0.0911,0.0845,0.0782,0.0718,0.0576,0.0451,0.0256,0.0692753087949594,26.1103469720871,24,-2.11034697208713
"15","Mallorca",1e-04,0.0018,0.0071,0.0156,0.0304,0.0438,0.0528,0.066,0.0718,0.0743,0.0756,0.08,0.0784,0.0737,0.0792,0.0681,0.064,0.0545,0.0394,0.0234,0.0588225430252543,26.8434023496376,30,3.15659765036237
"16","Espanol",0,0,5e-04,0.0014,0.0028,0.0071,0.0113,0.0184,0.0209,0.0285,0.0377,0.0493,0.0619,0.0689,0.0852,0.1023,0.1154,0.1313,0.1348,0.1223,0.0711397754103227,21.6883579021028,23,1.31164209789718
"17","Las Palmas",0,1e-04,4e-04,0.0018,0.0047,0.0062,0.0126,0.0176,0.0224,0.0332,0.044,0.0459,0.0629,0.0724,0.0835,0.0955,0.1088,0.1239,0.1398,0.1243,0.0716572823056962,21.9136735299352,23,1.08632647006477
"18","Leganes",0,0,1e-04,5e-04,0.0015,0.003,0.0055,0.0077,0.0136,0.017,0.0237,0.0342,0.041,0.0549,0.0691,0.0854,0.1094,0.1384,0.1763,0.2187,0.0607586004823797,19.9103290331861,23,3.08967096681391
"19","Osasuna",0,0.001,0.0059,0.0178,0.0273,0.0398,0.0493,0.0639,0.0722,0.0756,0.0784,0.0813,0.0829,0.0787,0.0763,0.0699,0.0645,0.0492,0.0407,0.0253,0.0581469722378782,26.7149213879202,30,3.28507861207984
"20","Valladolid",0,0,1e-04,2e-04,9e-04,0.0012,0.0029,0.0034,0.0063,0.0101,0.0145,0.0198,0.0265,0.0362,0.0523,0.0723,0.0945,0.134,0.1974,0.3274,0.0670374609312059,18.3439012770314,15,-3.34390127703144
