"","team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","actual_points_prob","expected_points","points","points_diff"
"1","Paris SG",0.7467,0.1506,0.0576,0.0241,0.0104,0.0053,0.0023,0.0014,8e-04,8e-04,0,0,0,0,0,0,0,0,0.0513952263831147,44.8379598419234,50,5.16204015807656
"2","Monaco",0.0918,0.247,0.1916,0.1321,0.1044,0.0755,0.0541,0.0351,0.026,0.0183,0.0106,0.0062,0.0029,0.0015,0.0014,0.001,1e-04,4e-04,0.0713280000088426,36.4846103060602,37,0.515389693939802
"3","Marseille",0.0499,0.1574,0.1593,0.1408,0.1209,0.1014,0.0799,0.0633,0.0423,0.0307,0.0205,0.0132,0.0084,0.0058,0.0033,0.0022,6e-04,1e-04,0.0444488196138027,34.4699217783472,40,5.53007822165281
"4","Lille",0.0336,0.1222,0.1296,0.1353,0.1257,0.1039,0.0905,0.0718,0.0582,0.0398,0.0319,0.0224,0.0155,0.0091,0.0053,0.0031,0.0013,8e-04,0.0677664303150377,33.1754723260142,35,1.82452767398585
"5","Lens",0.0335,0.1208,0.1401,0.1417,0.1223,0.109,0.0886,0.0667,0.0553,0.041,0.0294,0.0185,0.0139,0.0082,0.0053,0.0032,0.0018,7e-04,0.0711516376161771,33.2847499072711,33,-0.284749907271063
"6","Lyon",0.0223,0.0766,0.1044,0.116,0.1146,0.118,0.1008,0.0873,0.07,0.0556,0.047,0.0331,0.0209,0.0144,0.0089,0.0065,0.0025,0.0011,0.0673059572590108,31.8580598557866,30,-1.85805985578656
"7","Rennes",0.0091,0.0464,0.0675,0.0903,0.0953,0.106,0.107,0.101,0.0875,0.0744,0.0641,0.0488,0.0388,0.0271,0.0179,0.011,0.0058,0.002,0.0150008555304261,29.8842417023437,20,-9.88424170234371
"8","Toulouse",0.0054,0.0282,0.0484,0.0641,0.0849,0.0905,0.1022,0.1012,0.1,0.0866,0.0766,0.068,0.0515,0.0387,0.0245,0.0152,0.01,0.004,0.0644926151354984,28.698000328254,26,-2.69800032825403
"9","Nice",0.0046,0.0246,0.0437,0.0554,0.0706,0.0841,0.0958,0.1001,0.0933,0.0899,0.0808,0.0721,0.0547,0.0495,0.0357,0.0239,0.0151,0.0061,0.0398994849551137,28.0275485085184,34,5.97245149148165
"10","Strasbourg",0.0011,0.0056,0.0111,0.0205,0.0301,0.0384,0.0504,0.0639,0.0778,0.0911,0.0932,0.1003,0.0981,0.0898,0.0783,0.066,0.0506,0.0337,0.0615572810310078,24.1151824313359,27,2.88481756866412
"11","Brest",7e-04,0.0073,0.013,0.0187,0.0295,0.0417,0.0536,0.0709,0.0842,0.0971,0.0947,0.0972,0.0961,0.0854,0.073,0.0597,0.0467,0.0305,0.0578832561194528,24.4759672523276,28,3.52403274767236
"12","Reims",6e-04,0.0086,0.0192,0.0336,0.0435,0.0508,0.0665,0.0827,0.0927,0.102,0.1007,0.0896,0.0808,0.072,0.0595,0.0473,0.0323,0.0176,0.0581015792616874,25.8520378889459,22,-3.85203788894592
"13","Nantes",4e-04,0.0025,0.0062,0.0139,0.0228,0.0299,0.0401,0.052,0.0691,0.0761,0.0942,0.0997,0.1032,0.1023,0.0971,0.081,0.0649,0.0446,0.06933902339011,23.1605078872519,21,-2.16050788725193
"14","Auxerre",3e-04,0.0013,0.0044,0.0067,0.0108,0.0179,0.0272,0.0389,0.0515,0.0603,0.0766,0.0886,0.0999,0.1116,0.1151,0.1083,0.1005,0.0801,0.0697016252212994,21.5033383810225,23,1.49666161897747
"15","Angers",0,1e-04,6e-04,0.0013,0.0024,0.0053,0.0084,0.0135,0.0172,0.028,0.0383,0.0583,0.074,0.0953,0.1244,0.1464,0.1776,0.2089,0.0490956910488902,18.3850880254393,23,4.61491197456072
"16","Le Havre",0,3e-04,6e-04,0.0016,0.0035,0.0057,0.0085,0.0139,0.0246,0.0326,0.044,0.0615,0.0739,0.0971,0.1193,0.1441,0.1678,0.201,0.0544851299748568,18.7427797035493,14,-4.74277970354927
"17","Montpellier",0,4e-04,0.0023,0.003,0.0059,0.0116,0.0175,0.0235,0.0334,0.0497,0.0577,0.0736,0.0976,0.1048,0.1206,0.1364,0.1303,0.1317,0.0502756774744141,20.1191814357027,15,-5.11918143570271
"18","St Etienne",0,1e-04,4e-04,9e-04,0.0024,0.005,0.0066,0.0128,0.0161,0.026,0.0397,0.0489,0.0698,0.0874,0.1104,0.1447,0.1921,0.2367,0.0776332667332986,17.8150467655427,18,0.184953234457296
