"","team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","actual_points_prob","expected_points","points","points_diff"
"1","Man City",0.3155,0.2537,0.1901,0.1171,0.0609,0.0297,0.016,0.0094,0.0047,0.002,4e-04,2e-04,1e-04,2e-04,0,0,0,0,0,0,0.0227581189747413,49.4968144865524,41,-8.49681448655245
"2","Liverpool",0.2916,0.262,0.2036,0.1191,0.0567,0.0328,0.0183,0.0074,0.0038,0.0023,0.0013,5e-04,4e-04,0,1e-04,0,1e-04,0,0,0,0.0371526660904208,49.3380008896542,56,6.66199911034583
"3","Arsenal",0.2734,0.2529,0.2005,0.125,0.072,0.0353,0.0181,0.0107,0.0052,0.003,0.002,8e-04,7e-04,3e-04,1e-04,0,0,0,0,0,0.0684511161448766,48.8145146235704,50,1.18548537642964
"4","Chelsea",0.075,0.1148,0.1607,0.1954,0.1505,0.0948,0.07,0.0491,0.0345,0.0226,0.0135,0.0084,0.0059,0.0024,0.0014,5e-04,3e-04,2e-04,0,0,0.0648242706602124,43.5602069891005,43,-0.560206989100507
"5","Newcastle",0.0186,0.0466,0.0811,0.1322,0.1521,0.1312,0.1121,0.0933,0.0714,0.0525,0.0344,0.0283,0.019,0.0111,0.0085,0.0032,0.0025,0.0012,6e-04,1e-04,0.0633799166865659,39.704119937447,41,1.29588006255295
"6","Man United",0.0097,0.0242,0.0442,0.0771,0.1231,0.1304,0.1219,0.1117,0.0911,0.0771,0.0576,0.045,0.033,0.022,0.0157,0.0076,0.0048,0.0029,7e-04,2e-04,0.0253100921680697,37.4344136391216,29,-8.43441363912156
"7","Tottenham",0.0062,0.0149,0.0374,0.0645,0.0909,0.1231,0.1203,0.1106,0.1027,0.0822,0.073,0.0525,0.0418,0.0301,0.0186,0.0152,0.0082,0.0042,0.0029,7e-04,0.0207695135872642,36.2820801121345,27,-9.28208011213453
"8","Aston Villa",0.006,0.0178,0.0354,0.0688,0.1035,0.1175,0.122,0.1126,0.1018,0.0791,0.0706,0.0531,0.0408,0.028,0.0183,0.0128,0.0061,0.0037,0.0014,7e-04,0.0654402612078531,36.5463667711109,37,0.453633228889117
"9","Brighton",0.0015,0.0051,0.0219,0.038,0.0654,0.0866,0.0982,0.1072,0.1028,0.0975,0.0879,0.0776,0.0652,0.0484,0.0367,0.025,0.0189,0.0084,0.0055,0.0022,0.0656801268219932,34.096506732856,34,-0.0965067328559996
"10","Fulham",0.001,0.0033,0.0108,0.0221,0.0401,0.0591,0.073,0.0893,0.0966,0.1018,0.1032,0.0868,0.0792,0.0724,0.0561,0.0432,0.0281,0.0187,0.0105,0.0047,0.0538549831083014,32.2609474613723,36,3.73905253862767
"11","Bournemouth",6e-04,0.0021,0.0051,0.0133,0.0257,0.0459,0.0644,0.0752,0.0873,0.0926,0.0973,0.0985,0.0923,0.0838,0.0707,0.053,0.0399,0.026,0.0189,0.0074,0.0220023780881556,31.0411537543651,40,8.9588462456349
"12","Brentford",4e-04,2e-04,0.0014,0.0035,0.0095,0.0164,0.0228,0.0369,0.0482,0.0626,0.077,0.0867,0.1038,0.1053,0.0993,0.0982,0.087,0.0618,0.0511,0.0279,0.0553642369859258,27.4865734407274,31,3.51342655927256
"13","Nott'm Forest",3e-04,0.0013,0.0037,0.0108,0.0211,0.0384,0.0522,0.0679,0.0783,0.0927,0.098,0.1012,0.0995,0.0859,0.0753,0.0638,0.046,0.0338,0.0206,0.0092,0.00145098100062062,30.3076783892131,47,16.6923216107869
"14","Crystal Palace",2e-04,0.001,0.0031,0.0092,0.0188,0.0369,0.051,0.058,0.0778,0.0854,0.0963,0.1035,0.0924,0.0906,0.08,0.0676,0.0521,0.0377,0.026,0.0124,0.0655136004903071,29.87110283338,30,0.128897166620039
"15","Everton",0,1e-04,4e-04,0.001,0.0035,0.0062,0.013,0.0169,0.0266,0.0422,0.0522,0.0691,0.0821,0.1025,0.1154,0.1159,0.1072,0.1057,0.08,0.06,0.0675164369002026,25.1841729662896,26,0.815827033710356
"16","Ipswich",0,0,1e-04,4e-04,4e-04,6e-04,0.0024,0.0032,0.0075,0.0123,0.0166,0.0279,0.0354,0.0526,0.0689,0.0935,0.1309,0.1542,0.1874,0.2057,0.0522777722506671,20.8818321394819,16,-4.8818321394819
"17","Leicester",0,0,0,3e-04,3e-04,6e-04,0.0022,0.0042,0.0068,0.0109,0.015,0.0223,0.0353,0.0511,0.0713,0.0934,0.1194,0.1544,0.1826,0.2299,0.0616209437483546,20.5904973588836,17,-3.59049735888363
"18","Southampton",0,0,0,2e-04,2e-04,0.0013,0.001,0.0026,0.0051,0.0083,0.0122,0.0199,0.0286,0.0451,0.0585,0.0799,0.1116,0.154,0.2011,0.2704,0.00914373491030446,19.8660353684889,9,-10.8660353684889
"19","West Ham",0,0,3e-04,0.0014,0.0042,0.0099,0.0142,0.0223,0.032,0.0456,0.0589,0.0703,0.0842,0.0914,0.1104,0.1121,0.1072,0.0977,0.0809,0.057,0.0650096925057253,25.5804104949262,27,1.41958950507375
"20","Wolves",0,0,2e-04,6e-04,0.0011,0.0033,0.0069,0.0115,0.0158,0.0273,0.0326,0.0474,0.0603,0.0768,0.0947,0.1151,0.1297,0.1354,0.1298,0.1115,0.0558092576093866,23.2325196256684,19,-4.2325196256684
