team_name,team_abbr,team_short,country_name,country_code,city,espn_id,primary_color,secondary_color
Liverpool,LIV,Liverpool,United Kingdom,UK,Liverpool,364,#C8102E,#00B2A9
Arsenal,ARS,Arsenal,United Kingdom,UK,London,359,#EF0107,#063672
Nottingham Forest,NFO,Nott'm Forest,United Kingdom,UK,Nottingham,393,#DD0000,#FFFFFF
Newcastle United,NEW,Newcastle,United Kingdom,UK,Newcastle,361,#241F20,#41B6E6
Chelsea,CHE,Chelsea,United Kingdom,UK,London,363,#034694,#EE242C
Bournemouth,BOU,Bournemouth,United Kingdom,UK,Bournemouth,349,#DA291C,#000000
Manchester City,MCI,Man City,United Kingdom,UK,Manchester,382,#6CABDD,#1C2C5B
Aston Villa,AVI,Aston Villa,United Kingdom,UK,Birmingham,362,#95bfe5,#670e36
Brighton & Hove Albion,BRI,Brighton,United Kingdom,UK,Brighton and Hove,331,#0057B8,#FFCD00
Fulham,FUL,Fulham,United Kingdom,UK,London,370,#000000 ,#CC0000
Brentford,BRE,Brentford,United Kingdom,UK,London,337,#E3030B,#FAB813
Manchester United,MUN,Man United,United Kingdom,UK,Manchester,360,#DA291C,#FBE122
West Ham United,WHU,West Ham,United Kingdom,UK,London,371,#7A263A,#1bb1e7
Tottenham Hotspur,TOT,Tottenham,United Kingdom,UK,London,367,#132257,#FFFFFF
Crystal Palace,CRY,Crystal Palace,United Kingdom,UK,London,384,#1B458F,#a7a5a6
Wolverhampton Wanderers,WOL,Wolves,United Kingdom,UK,Wolverhampton,380,#FDB913,#231F20
Ipswich Town,IPS,Ipswich,United Kingdom,UK,Ipswich,373,#2B458C,#EE3124
Leicester City,LEI,Leicester,United Kingdom,UK,Leicester,375,#003090,#fdbe11
Southampton,SOU,Southampton,United Kingdom,UK,Southampton,376,#d71920,#130c0e
Everton,EVE,Everton,United Kingdom,UK,Liverpool,368,#003399,#FFFFFF
Real Madrid,RMA,Real Madrid,Spain,ES,Madrid,86,#FEBE10,#00529F
Atlético de Madrid,ATM,Atletico Madrid,Spain,ES,Madrid,1068,#272e61,#CB3524
Barcelona,BAR,Barcelona,Spain,ES,Barcelona,83,#004d98,#a50044
Athletic Club,ATH,Athletic Bilbao,Spain,ES,Bilbao,93,#ffffff,#ee2523
Villarreal,VIL,Villarreal,Spain,ES,Villarreal,102,#005187,#ffe667
Mallorca,MLL,Mallorca,Spain,ES,Mallorca,84,#E20613,#000000
Real Sociedad,RSO,Real Sociedad,Spain,ES,San Sebastián,89,#ffffff,#0067b1
Girona,GIR,Girona,Spain,ES,Girona,9812,#CF152D,#F7F9F9
Rayo Vallecano,RAY,Rayo Vallecano,Spain,ES,Madrid,101,#D81F25,#7D6E2B
Osasuna,OSA,Osasuna,Spain,ES,Pamplona,97,#0a346f,#d91a21
Sevilla,SEV,Sevilla,Spain,ES,Sevilla,243,#ffffff,#f43333
Real Betis,BET,Real Betis,Spain,ES,Sevilla,244,#0BB363,#e7a614
Celta Vigo,CEL,Celta,Spain,ES,Vigo,85,#8ac3ee,#e5254e
Las Palmas,LPA,Las Palmas,Spain,ES,Las Palmas,98,#054B9B,#FEE31A
Leganés,LEG,Leganes,Spain,ES,Leganés,17534,#0c1f6e,#3bad36
Getafe,GET,Getafe,Spain,ES,Getafe,2922,#005999,#c43a2f
Deportivo Alavés,ALA,Deportivo Alaves,Spain,ES,Vitoria-Gasteiz,96,#0761af,#009ad7
Espanyol de Barcelona,ESP,Espanyol,Spain,ES,Barcelona,88,#df1116,#007fc8
Valencia,VAL,Valencia,Spain,ES,Valencia,94,#ffdf1c,#ee3524
Real Valladolid,VLL,Real Valladolid,Spain,ES,Valladolid,95,#921b88,#168554
