name,alternative
Nottingham Forest,Nott'm Forest
Newcastle United,Newcastle
Bournemouth,AFC Bournemouth
Manchester City,Man City
Brighton & Hove Albion,Brighton
Manchester United,Man United
West Ham United,West Ham
Tottenham Hotspur,Tottenham
Wolverhampton Wanderers,Wolves
Ipswich Town,Ipswich
Leicester City,Leicester
Athletic Club,Ath Bilbao
Real Betis,Betis
Celta Vigo,Celta
Deportivo Alavés,Alaves
Leganés,Leganes
Real Sociedad,Sociedad
Rayo Vallecano,Vallecano
Real Valladolid,Valladolid
Espanyol de Barcelona,Espanol
Atlético de Madrid,Ath Madrid
Espanyol de Barcelona,Espanyol
Atlético de Madrid,Atletico Madrid
Tottenham Hotspur,Spurs
Bayern München,Bayern Munich
Bayer 04 Leverkusen,Bayer Leverkusen
Bayer 04 Leverkusen,Leverkusen
Mainz 05,Mainz
Eintracht Frankfurt,Ein Frankfurt
RB Leipzig,RasenBallsport Leipzig
Freiburg,SC Freiburg
Borussia Mönchengladbach,M'gladbach
Borussia Mönchengladbach,Borussia Monchengladbach
Borussia Mönchengladbach,Borussia M.Gladbach
Wolfsburg,VfL Wolfsburg
Augsburg,FC Augsburg
Stuttgart,VfB Stuttgart
Borussia Dortmund,Dortmund
Union Berlin,1. FC Union Berlin
Hoffenheim,TSG Hoffenheim
St. Pauli,St Pauli
Heidenheim 1845,1. FC Heidenheim 1846
Heidenheim 1846,FC Heidenheim
Bochum 1848,VfL Bochum
Bochum 1848,Bochum
Heidenheim 1846,Heidenheim
