"","team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","actual_points_prob","expected_points","points","points_diff"
"1","Bayern Munich",0.9726,0.0259,0.0013,2e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110875346360512,50.2749,51,0.725100000000005
"2","Bayer Leverkusen",0.0214,0.5259,0.2111,0.1101,0.0598,0.0294,0.0161,0.0106,0.0062,0.0055,0.002,9e-04,3e-04,4e-04,1e-04,1e-04,1e-04,0,0.0345161575846657,38.6285,45,6.3715
"3","Eintracht Frankfurt",0.0035,0.1751,0.237,0.1837,0.1294,0.0869,0.0626,0.04,0.0284,0.019,0.0139,0.0084,0.0059,0.0034,0.0018,7e-04,3e-04,0,0.0655186767747676,34.5212,38,3.4788
"4","VfB Stuttgart",0.0016,0.1617,0.2535,0.2077,0.1306,0.089,0.0553,0.0364,0.0245,0.0166,0.0113,0.0057,0.0035,0.0014,8e-04,3e-04,1e-04,0,0.0765199613753149,34.6512,32,-2.6512
"5","Borussia Dortmund",4e-04,0.0261,0.0705,0.1017,0.1177,0.119,0.1195,0.1001,0.0866,0.0708,0.056,0.046,0.0344,0.0228,0.0167,0.0075,0.0035,7e-04,0.0877837408996172,29.831,29,-0.830999999999996
"6","Freiburg",2e-04,0.0182,0.0416,0.0741,0.0989,0.106,0.1097,0.1006,0.0907,0.0848,0.0731,0.0613,0.0502,0.0385,0.0254,0.0176,0.0075,0.0016,0.084390988692584,28.7364,30,1.2636
"7","Mainz 05",1e-04,0.022,0.0537,0.0898,0.111,0.1136,0.1093,0.0967,0.0918,0.0721,0.0667,0.055,0.0409,0.0347,0.0239,0.0125,0.005,0.0012,0.0818142826274038,29.2393,31,1.7607
"8","St. Pauli",1e-04,0.0065,0.0188,0.0376,0.0518,0.0651,0.0739,0.081,0.0906,0.0867,0.0871,0.088,0.0827,0.0743,0.0639,0.0483,0.033,0.0106,0.0477337681582228,26.1621,21,-5.1621
"9","Wolfsburg",1e-04,0.0078,0.0218,0.0342,0.0524,0.0627,0.0713,0.0787,0.0867,0.0843,0.0925,0.0868,0.0814,0.0741,0.0657,0.0517,0.0344,0.0134,0.066734302335963,26.1102,29,2.8898
"10","Augsburg",0,0.0028,0.008,0.0193,0.0308,0.044,0.0548,0.0689,0.0759,0.0922,0.0972,0.1012,0.1024,0.0932,0.0873,0.0678,0.0374,0.0168,0.0859428605486796,24.966,26,1.03400000000001
"11","Bochum",0,0,0,0,6e-04,7e-04,8e-04,0.0013,0.003,0.0044,0.0077,0.0147,0.024,0.0371,0.062,0.1128,0.2174,0.5135,0.039997624199441,15.7691,10,-5.7691
"12","Borussia M.Gladbach",0,0.0033,0.0167,0.0381,0.0562,0.077,0.0903,0.1022,0.0994,0.1037,0.0949,0.0897,0.0704,0.0609,0.0445,0.0317,0.0157,0.0053,0.0701877432150886,26.8344,30,3.1656
"13","FC Heidenheim",0,1e-04,2e-04,0.0013,0.003,0.0056,0.0094,0.0151,0.021,0.0283,0.0398,0.0562,0.0754,0.1,0.1367,0.1766,0.19,0.1413,0.0390195571058456,19.8886,14,-5.8886
"14","Hoffenheim",0,0.0014,0.0029,0.007,0.0127,0.0204,0.0274,0.0378,0.0506,0.0565,0.0726,0.0833,0.1015,0.1189,0.1294,0.1234,0.1009,0.0533,0.056514352528961,22.4524,18,-4.4524
"15","Holstein Kiel",0,0,3e-04,6e-04,0.0025,0.0039,0.0059,0.0105,0.0148,0.0235,0.0315,0.0444,0.0681,0.0867,0.1173,0.1657,0.235,0.1893,0.0261357367804216,19.0598,12,-7.0598
"16","RasenBallsport Leipzig",0,9e-04,0.0045,0.0096,0.0215,0.0297,0.0381,0.0487,0.0624,0.0754,0.0849,0.0999,0.1053,0.1119,0.1104,0.0989,0.0648,0.0331,0.0101619052936979,23.6087,33,9.3913
"17","Union Berlin",0,0.0078,0.0243,0.0365,0.0533,0.0626,0.0777,0.084,0.0812,0.0916,0.0886,0.0808,0.0821,0.0736,0.0649,0.0485,0.0312,0.0113,0.0464360754407112,26.3206,21,-5.3206
"18","Werder Bremen",0,0.0145,0.0338,0.0485,0.0678,0.0844,0.0779,0.0874,0.0862,0.0846,0.0802,0.0777,0.0715,0.0681,0.0492,0.0359,0.0237,0.0086,0.0664060171889135,27.1471,30,2.85290000000001
