"","team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","actual_points_prob","expected_points","points","points_diff"
"1","Barcelona",0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.082456575929876,62.9298,63,0.0701999999999927
"2","Real Madrid",0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0423367174944254,54.2755,60,5.72450000000001
"3","Alaves",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0193708112724048,35.8589,27,-8.8589
"4","Athletic Club",0,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.0609071087838889,49.0742,52,2.92580000000002
"5","Atletico Madrid",0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.0396322601646018,50.0567,56,5.94329999999999
"6","Celta Vigo",0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0.0508245337765018,43.4855,39,-4.4855
"7","Espanyol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0.0570411758918807,24.2834,28,3.7166
"8","Getafe",0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.0585445882079631,32.4055,36,3.5945
"9","Girona",0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0.0664572455610303,37.2853,34,-3.2853
"10","Las Palmas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0614654651843232,22.0416,25,2.95839999999999
"11","Leganes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0635808762383061,24.1477,27,2.8523
"12","Mallorca",0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.0689004752997043,41.1662,40,-1.1662
"13","Osasuna",0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0.0715079022353113,31.2383,33,1.76169999999999
"14","Rayo Vallecano",0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0.070469119633298,37.9688,37,-0.968799999999995
"15","Real Betis",0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.060721520393651,47.2475,44,-3.24749999999999
"16","Real Sociedad",0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.0636012485086211,37.9473,35,-2.9473
"17","Real Valladolid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0.0201987069177381,23.9878,16,-7.9878
"18","Sevilla",0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.0587782025475957,32.7924,36,3.20760000000001
"19","Valencia",0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0.0296442760887124,35.4777,28,-7.47770000000001
"20","Villarreal",0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0360098491957888,50.5339,44,-6.5339
