"","team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","actual_points_prob","expected_points","points","points_diff"
"1","Paris Saint Germain",0.8865,0.0894,0.0179,0.0049,8e-04,3e-04,0,2e-04,0,0,0,0,0,0,0,0,0,0,0.0971898058998375,48.2081,50,1.79189999999999
"2","Monaco",0.0717,0.4352,0.2212,0.1186,0.0745,0.0386,0.0235,0.011,0.0037,0.0012,6e-04,0,2e-04,0,0,0,0,0,0.0714748572264786,39.9358,37,-2.9358
"3","Lens",0.0145,0.1388,0.1807,0.1707,0.1474,0.1206,0.0925,0.0677,0.0321,0.0185,0.008,0.0049,0.0018,0.0012,5e-04,1e-04,0,0,0.0719263314152024,35.5172,33,-2.5172
"4","Toulouse",0.009,0.1115,0.1713,0.1705,0.1516,0.1302,0.0991,0.0734,0.0419,0.0216,0.0113,0.0042,0.0025,0.0011,2e-04,3e-04,2e-04,1e-04,0.0140431876737118,34.991,26,-8.99099999999999
"5","Nice",0.0072,0.0818,0.1275,0.1478,0.1501,0.1398,0.1245,0.0906,0.0571,0.0333,0.0175,0.012,0.0057,0.0023,0.0019,4e-04,4e-04,1e-04,0.0811617146010097,33.8285,34,0.171500000000002
"6","Lille",0.0066,0.0717,0.1154,0.1348,0.1479,0.1406,0.1323,0.0985,0.0656,0.0385,0.0219,0.0125,0.0079,0.0032,0.0011,0.0012,3e-04,0,0.0772397211373127,33.4958,35,1.5042
"7","Marseille",0.0025,0.0363,0.0801,0.116,0.1385,0.1512,0.153,0.1288,0.0836,0.0501,0.0278,0.0147,0.0088,0.0045,0.0031,8e-04,1e-04,1e-04,0.0208955454070959,32.325,40,7.675
"8","Lyon",0.002,0.0322,0.069,0.0986,0.1192,0.1419,0.1425,0.1411,0.0993,0.0606,0.0371,0.0246,0.0156,0.0076,0.005,0.003,6e-04,1e-04,0.0783142410827607,31.6226,30,-1.6226
"9","Angers",0,0,7e-04,0.0022,0.0045,0.0121,0.0209,0.046,0.0826,0.1174,0.1313,0.1283,0.1202,0.106,0.0893,0.0667,0.0431,0.0287,0.0937213908673413,22.9716,23,0.0284000000000013
"10","Auxerre",0,0,0,6e-04,0.001,0.0024,0.0078,0.0159,0.0301,0.0547,0.0699,0.0972,0.1148,0.1297,0.1325,0.1296,0.1208,0.093,0.0729768523825716,20.1965,23,2.8035
"11","Brest",0,0,1e-04,3e-04,5e-04,0.0031,0.0067,0.0154,0.0328,0.0541,0.072,0.09,0.1071,0.121,0.131,0.1352,0.1271,0.1036,0.0155348444571304,20.0598,28,7.9402
"12","Le Havre",0,0,0,2e-04,2e-04,0.0014,0.0028,0.0061,0.0158,0.0292,0.0451,0.0715,0.0857,0.1091,0.1367,0.1481,0.1669,0.1812,0.0540384954445099,18.5941,14,-4.5941
"13","Montpellier",0,0,0,1e-04,8e-04,0.0012,0.0039,0.0075,0.0192,0.0317,0.0463,0.0617,0.0859,0.1035,0.1216,0.1446,0.1605,0.2115,0.0684860890589095,18.4542,15,-3.4542
"14","Nantes",0,0.0023,0.0094,0.0173,0.0298,0.0536,0.0805,0.1121,0.1464,0.1355,0.1181,0.0905,0.0714,0.0471,0.036,0.0245,0.0164,0.0091,0.0466485351862633,26.2375,21,-5.2375
"15","Reims",0,0,0.0014,0.0027,0.0063,0.0116,0.0207,0.0397,0.0711,0.0989,0.1161,0.1224,0.1144,0.1107,0.0955,0.0823,0.0645,0.0417,0.0887062298848484,22.3785,22,-0.378499999999999
"16","Rennes",0,4e-04,0.0035,0.0096,0.0167,0.0313,0.0512,0.0819,0.1186,0.1289,0.1309,0.1102,0.0941,0.0764,0.0558,0.0455,0.029,0.016,0.0550950350640493,24.6026,20,-4.6026
"17","Saint-Etienne",0,0,0,0,0,1e-04,8e-04,0.0013,0.0045,0.0114,0.0232,0.0373,0.0554,0.0841,0.1151,0.1598,0.2237,0.2833,0.101195335123908,17.1855,18,0.814500000000002
"18","Strasbourg",0,4e-04,0.0018,0.0051,0.0102,0.02,0.0373,0.0628,0.0956,0.1144,0.1229,0.118,0.1085,0.0925,0.0747,0.0579,0.0464,0.0315,0.0637508615176955,23.5564,27,3.4436
