"","team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","actual_points_prob","expected_points","points","points_diff"
"1","Atalanta",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0745088458860559,58.3177,58,-0.317700000000009
"2","AC Milan",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0462290321417883,52.1173,47,-5.1173
"3","Bologna",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0657059564440957,50.4876,53,2.51239999999999
"4","Cagliari",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0473106527551868,31.2694,26,-5.2694
"5","Como",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0226337749667278,37.9347,29,-8.9347
"6","Empoli",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0282137862482265,29.7542,22,-7.7542
"7","Fiorentina",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0373980314935967,41.7344,48,6.26559999999999
"8","Genoa",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0728132226937779,35.2861,35,-0.286099999999998
"9","Inter",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0649874347920764,60.9823,64,3.0177
"10","Juventus",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0668780992723293,53.4412,52,-1.44120000000001
"11","Lazio",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0703139642239099,49.0011,51,1.99890000000001
"12","Lecce",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0777815928146297,25.39,25,-0.390000000000001
"13","Monza",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0129226787745416,24.7498,15,-9.74979999999999
"14","Napoli",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0408773534132332,54.9458,61,6.05420000000001
"15","Parma Calcio 1913",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0398126438166879,31.2255,25,-6.2255
"16","Roma",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0661396081103711,46.9214,49,2.0786
"17","Torino",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0275419581548443,30.5319,38,7.4681
"18","Udinese",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0488538188642095,35.2982,40,4.7018
"19","Venezia",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0295161978622944,27.2954,20,-7.2954
"20","Verona",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0686785273181741,27.1911,29,1.8089
